shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3,41.75739336,-111.8247171,414,
3_2,41.75738083,-111.8232064,415,
3,41.75738083,-111.8232064,415,
3_2,41.75736766,-111.8222001,416,
3,41.75736766,-111.8222001,416,
3_2,41.75738058,-111.8214567,417,
3,41.75738058,-111.8214567,417,
3_2,41.75738777,-111.820103,418,
3,41.75738777,-111.820103,418,
3_2,41.75741489,-111.8192998,419,
3,41.75741489,-111.8192998,419,
3_2,41.75741163,-111.81925,420,
3,41.75741163,-111.81925,420,
3_2,41.75741179,-111.8192349,421,
3,41.75741179,-111.8192349,421,
3_2,41.75741378,-111.8192249,422,
3,41.75741378,-111.8192249,422,
3_2,41.75741388,-111.8192148,423,
3,41.75741388,-111.8192148,423,
3_2,41.75741587,-111.8192048,424,
3,41.75741587,-111.8192048,424,
3_2,41.75741786,-111.8191947,425,
3,41.75741786,-111.8191947,425,
3_2,41.75741796,-111.8191847,426,
3,41.75741796,-111.8191847,426,
3_2,41.75741993,-111.8191746,427,
3,41.75741993,-111.8191746,427,
3_2,41.75742005,-111.8191621,428,
3,41.75742005,-111.8191621,428,
3_2,41.75742202,-111.8191521,429,
3,41.75742202,-111.8191521,429,
3_2,41.75742399,-111.819142,430,
3,41.75742399,-111.819142,430,
3_2,41.75742973,-111.8191321,431,
3,41.75742973,-111.8191321,431,
3_2,41.75743359,-111.8191222,432,
3,41.75743359,-111.8191222,432,
3_2,41.75743742,-111.8191147,433,
3,41.75743742,-111.8191147,433,
3_2,41.75744316,-111.8191048,434,
3,41.75744316,-111.8191048,434,
3_2,41.7574489,-111.8190949,435,
3,41.7574489,-111.8190949,435,
3_2,41.75745275,-111.8190849,436,
3,41.75745275,-111.8190849,436,
3_2,41.75745847,-111.8190775,437,
3,41.75745847,-111.8190775,437,
3_2,41.75746419,-111.8190701,438,
3,41.75746419,-111.8190701,438,
3_2,41.75746991,-111.8190627,439,
3,41.75746991,-111.8190627,439,
3_2,41.75747751,-111.8190554,440,
3,41.75747751,-111.8190554,440,
3_2,41.75748511,-111.819048,441,
3,41.75748511,-111.819048,441,
3_2,41.75749269,-111.8190432,442,
3,41.75749269,-111.8190432,442,
3_2,41.75750027,-111.8190384,443,
3,41.75750027,-111.8190384,443,
3_2,41.75750784,-111.8190335,444,
3,41.75750784,-111.8190335,444,
3_2,41.75751542,-111.8190287,445,
3,41.75751542,-111.8190287,445,
3_2,41.75752297,-111.8190263,446,
3,41.75752297,-111.8190263,446,
3_2,41.75753054,-111.8190215,447,
3,41.75753054,-111.8190215,447,
3_2,41.7575381,-111.8190192,448,
3,41.7575381,-111.8190192,448,
3_2,41.75754565,-111.8190168,449,
3,41.75754565,-111.8190168,449,
3_2,41.75755322,-111.819012,450,
3,41.75755322,-111.819012,450,
3_2,41.75756078,-111.8190097,451,
3,41.75756078,-111.8190097,451,
3_2,41.75756832,-111.8190099,452,
3,41.75756832,-111.8190099,452,
3_2,41.75757588,-111.8190075,453,
3,41.75757588,-111.8190075,453,
3_2,41.75758531,-111.8190077,454,
3,41.75758531,-111.8190077,454,
3_2,41.75759287,-111.8190054,455,
3,41.75759287,-111.8190054,455,
3_2,41.75759854,-111.819003,456,
3,41.75759854,-111.819003,456,
3_2,41.75816066,-111.8189782,457,
3,41.75816066,-111.8189782,457,
3_2,41.75878719,-111.8189577,458,
3,41.75878719,-111.8189577,458,
3_2,41.75960692,-111.8189636,459,
3,41.75960692,-111.8189636,459,
3_2,41.76048652,-111.8189322,460,
3,41.76048652,-111.8189322,460,
3_2,41.76108287,-111.8189252,461,
