link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000036,1500037,1500038,bus,1,10.2,1,service_links,316.4815144626185,3,999999,18.9699209468103,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.84568 41.73917, -111.841867 41.739095)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,17,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000037,1500038,1500019,bus,1,10.2,1,service_links,463.66742351672667,3,999999,27.79225315784576,0,1.0,2999997,0.15,4,0,"LINESTRING (-111.841867 41.739095, -111.836282 41.738953)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,18,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000038,1500019,1500016,bus,1,10.2,1,service_links,454.7790287376018,3,999999,13.636552585835137,0,2.0,2999997,0.15,4,0,"LINESTRING (-111.836282 41.738953, -111.831287 41.740637)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,19,10.2:7;8;9;10;11;12;13;14;15;16;17;18;19;20
1000039,1500054,1500055,bus,1,11.1,1,service_links,193.45617721894558,108,999999,11607.370633136736,0,0.0,107999892,0.15,4,0,"LINESTRING (-111.843251 41.765074, -111.84092 41.765011)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,12,11.1:12;13;14;15;16;17;18;19;20;21;22
1000040,1500055,1500056,bus,1,11.1,1,service_links,234.57342733427984,108,999999,14074.40564005679,0,0.0,107999892,0.15,4,0,"LINESTRING (-111.84092 41.765011, -111.839173 41.763352)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,13,11.1:12;13;14;15;16;17;18;19;20;21;22
1000041,1500056,1500057,bus,1,11.1,1,service_links,537.9497807867518,108,999999,32.24474210510001,0,1.0,107999892,0.15,4,0,"LINESTRING (-111.839173 41.763352, -111.839298 41.758515)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,14,11.1:12;13;14;15;16;17;18;19;20;21;22
1000042,1500057,1500058,bus,1,11.1,1,service_links,286.8093340056829,108,999999,17208.560040340974,0,0.0,107999892,0.15,4,0,"LINESTRING (-111.839298 41.758515, -111.839354 41.755936)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,15,11.1:12;13;14;15;16;17;18;19;20;21;22
1000043,1500058,1500059,bus,1,11.1,1,service_links,250.5179075359546,108,999999,15031.074452157276,0,0.0,107999892,0.15,4,0,"LINESTRING (-111.839354 41.755936, -111.83948 41.753685)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,16,11.1:12;13;14;15;16;17;18;19;20;21;22
1000044,1500059,1500060,bus,1,11.1,1,service_links,484.037913473358,108,999999,29.01326154685463,0,1.0,107999892,0.15,4,0,"LINESTRING (-111.83948 41.753685, -111.83951 41.749332)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,17,11.1:12;13;14;15;16;17;18;19;20;21;22
1000045,1500060,1500061,bus,1,11.1,1,service_links,400.8109291821307,108,999999,12.018318716105867,0,2.0,107999892,0.15,4,0,"LINESTRING (-111.83951 41.749332, -111.839653 41.745729)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,18,11.1:12;13;14;15;16;17;18;19;20;21;22
