stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7569940,1523,"486 S 250 E, Smithfield","Sky View High School",41.826555,-111.82621,,,0,,,0,,
7569941,1524,"210 South 300 East, Smithfield","Greenbriar Assisted Living",41.832108,-111.824301,,,0,,,0,,
7569942,1525,"115 East 100 South, Smithfield","",41.834393,-111.829548,,,0,,,0,,
7569943,1526,"51 East 100 North, Smithfield","Across from Smithfield Civic Center",41.838635,-111.831633,,,0,,,0,,
7569944,1527,"180 North Main, Smithfield","Smithfield Post Office",41.840099,-111.832491,,,0,,,0,,
7569945,1528,"454 North Main, Smithfield","",41.845877,-111.832337,,,0,,,0,,
7569946,1529,"640 North Main, Smithfield","Castle View Manor",41.850078,-111.831988,,,0,,,0,,
7569948,201,"604 North 200 East","",41.742996,-111.829456,,,0,,,0,,
7569949,202,"704 North 200 East","",41.744938,-111.82943,,,0,,,0,,
7569950,203,"918 North 200 East","Across from MLMS",41.748844,-111.829305,,,0,,,0,,
7569951,204,"1206 North 200 East","",41.753042,-111.829156,,,0,,,0,,
7569952,205,"1360 North 200 East","Spring Hollow",41.756343,-111.829057,,,0,,,0,,
7569953,206,"330 East 1400 North","Legacy House",41.757376,-111.826404,,,0,,,0,,
7569954,207,"465 East 1400 North","Logan Regional Hospital",41.757335,-111.822304,,,0,,,0,,
7569955,208,"1500 North 600 East","",41.760487,-111.818932,,,0,,,0,,
7569956,209,"1750 North Research Pkwy","USU Innovation",41.763576,-111.821057,,,0,,,0,,
7569957,210,"1800 North 600 East","",41.764831,-111.819169,,,0,,,0,,
7569958,211,"1775 North 800 East","",41.763817,-111.813758,,,0,,,0,,
7569959,213,"1380 North 800 East","Oakridge Apts",41.756688,-111.813978,,,0,,,0,,
7569960,214,"1200 North 800 East","Stadium Villa",41.753348,-111.81401,,,0,,,0,,
7569961,216,"695 East 1000 North","USU Credit Union",41.750015,-111.816894,,,0,,,0,,
7569962,217,"1090 North 600 East","",41.751189,-111.819221,,,0,,,0,,
7569963,218,"1320 North 600 East","BRHD",41.755684,-111.819082,,,0,,,0,,
7569964,219,"545 East 1400 North","Lee's Marketplace",41.757556,-111.820466,,,0,,,0,,
7569965,220,"313 East 1400 North","Lowe's",41.757594,-111.826093,,,0,,,0,,
7569966,221,"1365 North 200 East","",41.756191,-111.829195,,,0,,,0,,
7569968,223,"979 North 200 East","MLMS",41.749646,-111.82944,,,0,,,0,,
7569969,224,"165 East 700 North","",41.744741,-111.830496,,,0,,,0,,
7569971,222,"1201 North 200 East","University Stadium 6",41.752818,-111.829308,,,0,,,0,,
7573958,2050,"150 East 500 North","Intermodal Transit Center",41.740812,-111.830808,,,0,,,0,,
7579425,501,"750 North Main St","Smiths Marketplace",41.745855,-111.834482,,,0,,,0,,
7579426,502,"1080 North Main St","Burger King",41.751809,-111.834366,,,0,,,0,,
7579427,503,"1300 North Main","Arby's",41.75534,-111.834318,,,0,,,0,,
7579428,504,"1730 North Main St, N Logan","CV Bank",41.763602,-111.83414,,,0,,,0,,
7579429,505,"1980 North Main St, N Logan","Bennett's Paint and Glass",41.768159,-111.83406,,,0,,,0,,
7579430,506,"2250 North Main St, N Logan)","IFA",41.772951,-111.833963,,,0,,,0,,
7581239,509,"190 East 2600 North, N Logan","Thomas Edison Charter School North",41.77999,-111.828951,,,0,,,0,,
7581240,510,"380 East 2600 North, N Logan","",41.779919,-111.823923,,,0,,,0,,
7581241,511,"2489 North 400 East, N Logan","Across from Greenville Elementary",41.777434,-111.823014,,,0,,,0,,
7581273,513,"367 East 2200 North, N Logan","Across from Maple Springs",41.772202,-111.824235,,,0,,,0,,
7581274,514,"2169 North 200 East, N Logan","Four Seasons Apartments",41.77144,-111.82853,,,0,,,0,,
7581275,515,"1765 North 200 East, N Logan","Across for Fun Park",41.763486,-111.828867,,,0,,,0,,
7581276,516,"1581 North 200 East","Walmart North (Back)",41.760825,-111.829001,,,0,,,0,,
7599719,1535,"112 West Main St, Richmond","",41.922706,-111.81225,,,0,,,0,,
7599720,1537,"631 North Main, Smithfield","Across from Castle View Manor",41.849957,-111.83219,,,0,,,0,,
7599812,1538,"455 North Main, Smithfield","",41.845847,-111.832528,,,0,,,0,,
7599813,1539,"185 North Main, Smithfield","Sinclair",41.840411,-111.832712,,,0,,,0,,
7599814,1540,"50 East 100 North, Smithfield","Civic Center",41.838534,-111.831262,,,0,,,0,,
7599815,1541,"120 East 100 South, Smithfield","",41.834338,-111.829353,,,0,,,0,,
7599816,1542,"191 South 300 East, Smithfield","Across from Greenbriar Assisted Living",41.832325,-111.824362,,,0,,,0,,
7599817,1543,"491 South 250 East, Smithfield","LDS Church / Across from Sky View HS",41.826387,-111.826287,,,0,,,0,,
7599818,1544,"175 East 600 South, Smithfield","",41.82398,-111.827935,,,0,,,0,,
7599819,1545,"54 East 600 South, Smithfield","Smithfield Station Townhomes",41.823974,-111.831417,,,0,,,0,,
7599820,1546,"781 S Main, Smithfield","LaUnica (Smithfield) / Across from Lee's",41.820501,-111.83319,,,0,,,0,,
7599821,1547,"650 West Hyde Park Ln, Hyde Park","Across from Maverik",41.799224,-111.832286,,,0,,,0,,
7599822,1548,"160 West Hyde Park Ln, Hyde Park","",41.799111,-111.823067,,,0,,,0,,
7599823,1549,"40 E Hyde Park Lane, Hyde Park","Across from LDS Church",41.79905,-111.818175,,,0,,,0,,
7599824,1550,"105 South 100 East, Hyde Park","",41.796749,-111.816852,,,0,,,0,,
7599825,1551,"226 East 200 South, Hyde Park","",41.794944,-111.813459,,,0,,,0,,
7599826,1552,"710 South 250 East, Hyde Park","St Thomas Aquinas Church",41.785416,-111.813133,,,0,,,0,,
7599827,1553,"2755 North 800 East, N Logan","Across from North Park Elementary",41.783076,-111.813185,,,0,,,0,,
7599828,1554,"2481 North 800 East, N Logan","",41.777246,-111.813331,,,0,,,0,,
7599829,1555,"2175 North 800 East, N Logan","",41.771542,-111.813505,,,0,,,0,,
7599830,1556,"1124 East 2100 North, N Logan","Mt View Park",41.769316,-111.806317,,,0,,,0,,
7599831,1557,"2041 North 1200 East, N Logan","North Logan Fire Station",41.767998,-111.804587,,,0,,,0,,
7599832,1558,"1681 North 1200 East, N Logan","",41.761642,-111.80442,,,0,,,0,,
7599833,1559,"1375 North 1200 East","",41.756683,-111.804319,,,0,,,0,,
7599834,1560,"1111 North 1200 East","Aggie Village",41.751628,-111.804464,,,0,,,0,,
7606913,1679,"162 East 400 North","Nelson Funeral Home",41.738911,-111.83058,,,0,,,0,,
7606914,1680,"432 East 400 North","",41.738794,-111.823298,,,0,,,0,,
7606915,1681,"630 East 400 North","",41.738711,-111.81862,,,0,,,0,,
7606916,2023,"650 North 1200 East","Across from Fine Arts Building",41.74343,-111.804256,,,0,,,0,,
7606917,2027,"977 North 600 East","Across from Bridgerland Ds",41.749425,-111.81911,,,0,,,0,,
7606918,2028,"843 North 600 East","Across from the Factory",41.747305,-111.819164,,,0,,,0,,
7606919,2004,"1580 North 200 East","North Pointe Apartments",41.760771,-111.828873,,,0,,,0,,
