trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
15_0930_I,5735,1,Southbound,"",1,426865,25571,
15_0930_O,5735,1,Northbound,"",0,426865,25572,
15_1100_I,5735,1,Southbound,"",1,426865,25571,
15_1100_O,5735,1,Northbound,"",0,426865,25572,
15_1230_I,5735,1,Southbound,"",1,426865,25571,
15_1230_O,5735,1,Northbound,"",0,426865,25572,
15_1400_I,5735,1,Southbound,"",1,426865,25571,
15_1400_O,5735,1,Northbound,"",0,426865,25572,
15_1445_I,5735,1,Southbound,"",1,426866,25571,
15_1445_O,5735,1,Northbound,"",0,426866,25572,
15_1530_I,5735,1,Southbound,"",1,426865,25571,
15_1530_O,5735,1,Northbound,"",0,426865,25572,
15_1615_I,5735,1,Southbound,"",1,426866,25571,
15_1615_O,5735,1,Northbound,"",0,426866,25572,
15_1700_I,5735,1,Southbound,"",1,426865,25571,
15_1700_O,5735,1,Northbound,"",0,426865,25572,
15_1830_I,5735,1,Southbound,"",1,426865,25571,
15_1830_O,5735,1,Northbound,"",0,426865,25572,
15S_0930_I,5735,2,Southbound,"",1,426879,25571,
15S_0930_O,5735,2,Northbound,"",0,426879,25572,
15S_1100_I,5735,2,Southbound,"",1,426879,25571,
15S_1100_O,5735,2,Northbound,"",0,426879,25572,
15S_1230_I,5735,2,Southbound,"",1,426879,25571,
15S_1230_O,5735,2,Northbound,"",0,426879,25572,
15S_1400_I,5735,2,Southbound,"",1,426879,25571,
15S_1400_O,5735,2,Northbound,"",0,426879,25572,
15S_1530_I,5735,2,Southbound,"",1,426879,25571,
15S_1530_O,5735,2,Northbound,"",0,426879,25572,
15S_1700_I,5735,2,Southbound,"",1,426879,25571,
15S_1700_O,5735,2,Northbound,"",0,426879,25572,
16_0455_I,5739,1,"Preston, Lewiston, Transit, USU","",1,426863,20496,
16_0455_O,5739,1,"Logan, Lewiston, Preston","",0,426863,20497,
16_0555_I,5739,1,"Preston, Lewiston, Transit, USU","",1,426864,20496,
16_0555_O,5739,1,"Logan, Lewiston, Preston","",0,426864,20497,
16_1625_I,5734,1,"Logan, Lewiston, Preston","",1,426863,20498,
16_1625_O,5734,1,"USU, Logan, Lewiston, Preston","",0,426863,20499,
